Player,Team,Position,Contract expires,Birth country,Passport country,Foot,Height,Weight
Gustavo Scarpa,Palmeiras,"AMF , LAMF , RAMF",2022-12-31,Brazil,"Brazil , Italy",left,176,77
Malcom,Zenit,"RWF , RAMF , RW",2027-06-30,Brazil,Brazil,left,172,65
Edmílson Junior,Al Duhail,"LAMF , RAMF , AMF",2024-06-30,Belgium,"Belgium , Brazil",right,182,71
Rafael Navarro,Palmeiras,CF,2026-12-31,Brazil,Brazil,right,185,80
I. Sarr,Watford,"RWF , RW , LAMF",2024-06-30,Senegal,Senegal,right,185,76
J. Ito,Reims,"RWF , RAMF , RW",2026-06-30,Japan,Japan,right,177,66
M. Meza,Monterrey,"RW , RAMF , RWF",2023-12-31,Argentina,Argentina,right,181,77
J. Arias,Fluminense,"LW , LAMF , RAMF",2025-07-31,Colombia,Colombia,right,168,70
Luquinhas,New York RB,"AMF , RAMF",2024-12-31,Brazil,"Brazil , Portugal",right,167,60
I. Kahveci,Fenerbahçe,"RAMF , RW , RWF",2025-06-30,Turkey,Turkey,left,176,72
Rony Lopes,Troyes,"RW , RAMF , AMF",2024-06-30,Brazil,"Brazil , Portugal",left,174,68
Lucas Moura,Tottenham Hotspur,"RWF , AMF , CF",2024-06-30,Brazil,Brazil,right,174,70
Breno Lopes,Palmeiras,"RAMF , LAMF , RW",2024-12-31,Brazil,Brazil,right,178,72
Carles Pérez,Celta de Vigo,"RCMF3 , CF , RAMF",2024-06-30,Spain,Spain,left,173,75
