,Club,Season,League,League,League,Cup,Cup,Europe,Europe,Total,Total
,Club,Season,Division,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals
0,Hacettepe (loan),2013–14,TFF Third League,34,4,4,2,–,–,38,6
1,Gençlerbirliği,2014–15,Süper Lig,24,5,6,1,–,–,30,6
2,Gençlerbirliği,2015–16,Süper Lig,32,3,1,1,–,–,33,4
3,Gençlerbirliği,2016–17,Süper Lig,15,1,1,0,–,–,16,1
4,Gençlerbirliği,Total,Total,71,9,8,2,–,–,79,11
5,İstanbul Başakşehir,2016–17,Süper Lig,12,1,4,0,–,–,16,1
6,İstanbul Başakşehir,2017–18,Süper Lig,25,1,4,1,4[a],0,33,2
7,İstanbul Başakşehir,2018–19,Süper Lig,32,4,3,0,2[b],0,37,4
8,İstanbul Başakşehir,2019–20,Süper Lig,29,4,0,0,10[c],2,39,6
9,İstanbul Başakşehir,2020–21,Süper Lig,18,2,1,1,6[d],3,25,6
10,İstanbul Başakşehir,Total,Total,116,12,12,2,22,5,150,19
11,Fenerbahçe,2020–21,Süper Lig,12,0,0,0,–,–,12,0
12,Fenerbahçe,2021–22,Süper Lig,24,4,1,0,4[e],0,29,4
13,Fenerbahçe,2022–23,Süper Lig,8,3,0,0,8[f],3,16,6
14,Fenerbahçe,Total,Total,44,7,1,0,12,3,57,10
15,Career total,Career total,Career total,265,32,25,6,27,8,324,46
