,Club,Season,League,League,League,National cup,National cup,Continental,Continental,Other,Other,Total,Total
,Club,Season,Division,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals
0,Benfica B (loan),2016–17,LigaPro,14,0,0,0,—,—,—,—,14,0
1,Aves,2017–18,Primeira Liga,0,0,0,0,—,—,—,—,0,0
2,Vilafranquense (loan),2017–18,Liga 3,32,10,1,1,—,—,—,—,33,11
3,Aves,2018–19,Primeira Liga,17,0,1,0,—,—,—,—,18,0
4,Legia Warsaw,2019–20,Ekstraklasa,35,5,5,0,5,0,—,—,45,5
5,Legia Warsaw,2020–21,Ekstraklasa,25,3,4,1,4,0,1,0,34,4
6,Legia Warsaw,2021–22,Ekstraklasa,15,0,2,1,13,2,1,0,31,3
7,Legia Warsaw,Total,Total,75,8,11,2,22,2,2,0,110,12
8,New York Red Bulls,2022,Major League Soccer,30,5,5,2,0,0,1,0,36,7
9,Career total,Career total,Career total,168,23,18,5,22,2,3,0,211,30
