,Club,Season,League,League,League,National Cup,National Cup,League Cup,League Cup,Continental,Continental,Other,Other,Total,Total
,Club,Season,Division,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals
0,Corinthians,2014[6],Série A,20,2,3,0,—,—,0,0,1[a],0,24,2
1,Corinthians,2015[6],Série A,31,5,2,0,—,—,3[b],0,10[a],3,46,8
2,Corinthians,Total,Total,51,7,5,0,—,—,3,0,11,3,70,10
3,Bordeaux,2015–16[6],Ligue 1,12,1,1,1,0,0,0,0,—,—,13,2
4,Bordeaux,2016–17[6],Ligue 1,37,7,4,2,4,0,—,—,—,—,45,9
5,Bordeaux,2017–18[6],Ligue 1,35,12,1,0,0,0,2[c],0,—,—,38,12
6,Bordeaux,Total,Total,84,20,6,3,4,0,2,0,—,—,96,23
7,Barcelona,2018–19[46],La Liga,15,1,6,2,—,—,3[d],1,0,0,24,4
8,Zenit Saint Petersburg,2019–20[6],Russian Premier League,12,4,3,0,—,—,0,0,0,0,15,4
9,Zenit Saint Petersburg,2020–21[6],Russian Premier League,21,3,0,0,—,—,3[d],0,1[e],0,25,3
10,Zenit Saint Petersburg,2021–22[6],Russian Premier League,24,8,2,0,—,—,8[f],1,1[e],0,35,9
11,Zenit Saint Petersburg,2022–23[6],Russian Premier League,16,12,3,0,—,—,—,—,1[e],1,20,13
12,Zenit Saint Petersburg,Total,Total,73,27,7,0,—,—,11,1,3,1,95,28
13,Career total,Career total,Career total,223,55,24,5,4,0,19,2,14,4,285,66
