,Club,Season,League,League,League,Cup,Cup,Continental,Continental,Other,Other,Total,Total
,Club,Season,Division,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals
0,Gimnasia y Esgrima,2012–13,Primera B Nacional,14,0,2,0,—,—,0,0,16,0
1,Gimnasia y Esgrima,2013–14,Argentine Primera División,36,5,0,0,0,0,0,0,36,5
2,Gimnasia y Esgrima,2014,Argentine Primera División,7,0,1,0,0,0,0,0,8,0
3,Gimnasia y Esgrima,2015,Argentine Primera División,32,4,3,0,—,—,0,0,35,4
4,Gimnasia y Esgrima,2016,Argentine Primera División,9,3,1,0,—,—,0,0,10,3
5,Gimnasia y Esgrima,2016–17,Argentine Primera División,2,0,1,0,—,—,0,0,3,0
6,Gimnasia y Esgrima,Total,Total,100,12,8,0,0,0,0,0,108,12
7,Independiente,2016–17,Argentine Primera División,25,2,1,0,4[a],0,0,0,30,2
8,Independiente,2017–18,Argentine Primera División,19,3,1,1,14[b],3,2[c],0,36,7
9,Independiente,2018–19,Argentine Primera División,11,1,1,1,4[d],0,1[e],0,17,2
10,Independiente,Total,Total,55,6,3,2,22,3,3,0,83,11
11,Monterrey,2018–19,Liga MX,19,2,—,—,8[f],0,—,—,27,2
12,Monterrey,2019–20,Liga MX,29,1,7,2,—,—,3[g],1,39,4
13,Monterrey,2020–21,Liga MX,36,7,—,—,1[f],2,0,0,38,9
14,Monterrey,Total,Total,84,10,7,2,9,2,3,1,103,15
15,Career total,Career total,Career total,239,28,18,4,31,5,6,1,294,38
