,Club,Season,League,League,League,National Cup,National Cup,Europe,Europe,Other,Other,Total,Total
,Club,Season,Division,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals
0,Barcelona B,2015–16,Segunda División B,1,0,—,—,—,—,—,—,1,0
1,Barcelona B,2017–18,Segunda División,27,3,—,—,—,—,—,—,27,3
2,Barcelona B,2018–19,Segunda División B,26,9,—,—,—,—,—,—,26,9
3,Barcelona B,2019–20,Segunda División B,1,1,—,—,—,—,—,—,1,1
4,Barcelona B,Total,Total,55,13,—,—,—,—,—,—,55,13
5,Barcelona,2018–19,La Liga,1,0,0,0,0,0,0,0,1,0
6,Barcelona,2019–20,La Liga,10,1,1,0,1,1,0,0,12,2
7,Barcelona,Total,Total,11,1,1,0,1,1,0,0,13,2
8,Roma (loan),2019–20,Serie A,14,1,0,0,3,1,—,—,17,2
9,Roma,2020–21,Serie A,21,2,1,0,8,1,—,—,30,3
10,Roma,2021–22,Serie A,19,1,1,0,8,2,—,—,28,3
11,Roma,Total,Total,54,4,2,0,19,4,—,—,75,8
12,Career total,Career total,Career total,120,18,3,0,20,5,0,0,143,23
