,Club,Season,League,League,League,State League,State League,Cup,Cup,Continental,Continental,Other,Other,Total,Total
,Club,Season,Division,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals,Apps,Goals
0,Fluminense,2014,Série A,6,0,—,—,—,—,0,0,—,—,6,0
1,Fluminense,2015,Série A,28,5,—,—,6,1,—,—,—,—,34,6
2,Fluminense,2016,Série A,34,8,15,3,7,2,—,—,4[a],1,60,14
3,Fluminense,2017,Série A,38,2,5,3,3,1,5[b],1,—,—,51,7
4,Fluminense,Subtotal,Subtotal,106,15,20,6,16,4,5,1,4,1,151,27
5,Red Bull Brasil (loan),2015,Série D,0,0,11,2,—,—,—,—,—,—,11,2
6,Palmeiras,2018,Série A,12,2,7,2,1,0,2[c],0,—,—,22,4
7,Palmeiras,2019,Série A,27,4,11,3,1,0,8[c],6,—,—,47,13
8,Palmeiras,2020,Série A,26,1,8,1,5,1,6[c],1,2[d],0,47,4
9,Palmeiras,2021,Série A,31,4,13,2,2,0,7[c],1,4[e],1,57,8
10,Palmeiras,2022,Série A,32,6,11,1,4,1,8[c],4,—,—,55,12
11,Palmeiras,Subtotal,Subtotal,127,17,50,9,13,2,31,12,6,1,228,41
12,Career total,Career total,Career total,233,32,81,11,29,6,36,13,10,2,390,70
